,title,author,rating,cover_img
0,1984,"by George Orwell, Thomas Pynchon (Foreword)","4.19 avg rating — 4,761,581 ratings — published 1949 — 3274 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040._SX50_.jpg
1,Animal Farm / 1984,"by George Orwell, Christopher Hitchens (Introduction)","4.30 avg rating — 201,927 ratings — published 1949 — 307 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327959366i/5472._SY75_.jpg
2,1984,"by Michael Dean (Adaptation), George Orwell, Andy Hopkins (Editor)","4.41 avg rating — 29,798 ratings — published 1949 — 3 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173244441i/264196._SY75_.jpg
3,"The Arab of the Future: A Childhood in the Middle East, 1978-1984",by Riad Sattouf,"4.11 avg rating — 18,846 ratings — published 2014 — 41 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428638949i/23168840._SX50_.jpg
4,Obrazy a sny,"by Jean Cocteau, Ján Švantner (Translator)",3.83 avg rating — 12 ratings — 1 edition,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png
5,1984: George Orwell (SparkNotes Literature Guide),by SparkNotes,"4.29 avg rating — 9,524 ratings — 8 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380700268i/18282117._SY75_.jpg
6,The New Testament and Early Christianity,by Joseph B. Tyson,3.60 avg rating — 10 ratings — published 1984 — 9 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png
7,1984: The Graphic Novel,"by Fido Nesti (Adapter/Illustrator), George Orwell","4.23 avg rating — 5,535 ratings — published 2021 — 32 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631507488i/48930315._SX50_.jpg
8,"L'Arabe du futur 2 : Une jeunesse au Moyen-Orient, 1984-1985",by Riad Sattouf,"4.29 avg rating — 10,327 ratings — published 2015 — 33 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545748804i/25597560._SX50_.jpg
9,"The Fact of a Doorframe: Poems Selected and New, 1950-1984",by Adrienne Rich,"4.24 avg rating — 3,095 ratings — published 1984 — 17 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172593009i/195211._SY75_.jpg
10,War All the Time: Poems 1981 - 1984,by Charles Bukowski,"4.16 avg rating — 2,396 ratings — published 1984 — 19 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407708878i/50455._SY75_.jpg
11,1984,"by Duncan Macmillan, George Orwell (Adopted from ), Robert Icke","4.45 avg rating — 3,683 ratings — 2 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438259405i/18971659._SY75_.jpg
12,عبد المنعم أبو الفتوح: شاهد على تاريخ الحركة الإسلامية في مصر 1970-1984,"by عبد المنعم أبو الفتوح, حسام تمام (تحرير), طارق البشري (Goodreads Author) (تقديم)","3.72 avg rating — 1,757 ratings — published 2010 — 3 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1287417102i/9532084._SX50_.jpg
13,The Ministry of Truth: The Biography of George Orwell's 1984,by Dorian Lynskey,"4.13 avg rating — 1,228 ratings — published 2019 — 27 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542898290i/41880043._SY75_.jpg
14,"Collected Poems, 1948-1984",by Derek Walcott,4.17 avg rating — 878 ratings — published 1985 — 12 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316737990i/93933._SX50_.jpg
15,Glory Days: The Summer of 1984 and the 90 Days That Changed Sports and Culture Forever,by L. Jon Wertheim (Goodreads Author),4.10 avg rating — 817 ratings — 9 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596775003i/53968568._SY75_.jpg
16,Can't Slow Down: How 1984 Became Pop's Blockbuster Year,by Michaelangelo Matos,3.65 avg rating — 369 ratings — published 2020 — 5 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600089165i/53019097._SY75_.jpg
17,"Darkness Moves: An Henri Michaux Anthology, 1927-1984","by Henri Michaux, David Ball (Translator)",4.33 avg rating — 359 ratings — published 1994 — 11 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347706313i/385278._SX50_.jpg
18,Orwell's Revenge: The 1984 Palimpsest,by Peter W. Huber,3.19 avg rating — 230 ratings — published 1995 — 7 editions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611891846i/1099656._SY75_.jpg
19,New World Translation of the Holy Scriptures (1984),"by Anonymous, Watch Tower Bible and Tract Society (translator)","4.50 avg rating — 1,372 ratings — published 1961 — 24 editions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337449993i/2381176._SX50_.jpg
